time,V(spikes1),V(spikes2),V(spikes3),V(spikes4),V(spikes5),V(spikes6),V(spikes7),V(spikes8)
0.000000000000000e+000,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
2.340571362375549e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654012e-007,2.654012e-007,2.654012e-007,2.654012e-007
4.681142724751098e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654013e-007,2.654013e-007,2.654013e-007,2.654013e-007
7.021714087126647e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654017e-007,2.654017e-007,2.654017e-007,2.654017e-007
9.362285449502195e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654026e-007,2.654026e-007,2.654026e-007,2.654026e-007
1.170285681187774e-005,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654038e-007,2.654038e-007,2.654038e-007,2.654038e-007
1.404342817425329e-005,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654054e-007,2.654054e-007,2.654054e-007,2.654054e-007
1.638399953662884e-005,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654074e-007,2.654074e-007,2.654074e-007,2.654074e-007
3.276799907325767e-005,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.655721e-007,2.655726e-007,2.655730e-007,2.655734e-007
6.553599814651534e-005,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.700077e-007,2.700305e-007,2.700535e-007,2.700766e-007
1.310719962930307e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.726452e-007,3.737026e-007,3.747714e-007,3.758517e-007
2.621439925860614e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,1.226580e-006,1.239645e-006,1.252916e-006,1.266397e-006
3.759287716207525e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.492674e-006,3.548358e-006,3.605175e-006,3.663154e-006
4.911693759441033e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,8.610061e-006,8.784737e-006,8.963705e-006,9.147089e-006
6.076296293075123e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,1.693625e-005,1.733063e-005,1.773581e-005,1.815212e-005
6.699198287047357e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.453122e-005,2.516814e-005,2.582452e-005,2.650103e-005
7.465900326556869e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.719822e-005,3.830795e-005,3.945712e-005,4.064737e-005
8.999304405575891e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,7.268260e-005,7.538415e-005,7.820723e-005,8.115826e-005
1.102474765261411e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,1.416062e-004,1.482274e-004,1.552318e-004,1.626461e-004
1.396819314973578e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.896503e-004,3.074459e-004,3.266420e-004,3.473758e-004
1.814000767482979e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,5.952612e-004,6.463773e-004,7.035703e-004,7.678284e-004
