time,V(spikes1),V(spikes2),V(spikes3),V(spikes4),V(spikes5),V(spikes6),V(spikes7),V(spikes8)
0.000000000000000e+000,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007
2.340571362375549e-006,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,2.654012e-007,2.984512e-007,3.480262e-007,4.306512e-007
4.681142724751098e-006,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,2.654013e-007,2.984513e-007,3.480263e-007,4.306512e-007
7.021714087126647e-006,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,2.654017e-007,2.984517e-007,3.480267e-007,4.306517e-007
9.362285449502195e-006,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,2.654026e-007,2.984526e-007,3.480276e-007,4.306525e-007
1.170285681187774e-005,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,2.654038e-007,2.984538e-007,3.480288e-007,4.306538e-007
1.404342817425329e-005,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,2.654054e-007,2.984554e-007,3.480304e-007,4.306554e-007
1.638399953662884e-005,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,2.654074e-007,2.984574e-007,3.480324e-007,4.306574e-007
3.276799907325767e-005,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,2.655729e-007,2.986237e-007,3.481995e-007,4.308255e-007
6.553599814651534e-005,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,2.700499e-007,3.031391e-007,3.527597e-007,4.354384e-007
1.310719962930307e-004,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,3.746055e-007,4.093816e-007,4.609992e-007,5.460791e-007
2.621439925860614e-004,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,1.237024e-006,1.288369e-006,1.359702e-006,1.468633e-006
3.732814718921983e-004,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,3.476217e-006,3.579648e-006,3.713384e-006,3.898416e-006
4.860396093415135e-004,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,8.538678e-006,8.781851e-006,9.084174e-006,9.476512e-006
5.983660370086928e-004,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,1.667103e-005,1.716498e-005,1.777127e-005,1.853946e-005
6.597970824310196e-004,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,2.429608e-005,2.506674e-005,2.601141e-005,2.720244e-005
7.333642127275905e-004,2.654015e-007,2.984515e-007,3.480265e-007,4.306515e-007,3.675039e-005,3.803468e-005,3.961355e-005,4.160636e-005
