time	V(spikes1)	V(spikes2)	V(spikes3)	V(spikes4)	V(spikes5)	V(spikes6)	V(spikes7)	V(spikes8)
0.000000000000000e+000	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007
2.340571362375549e-006	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654012e-007	2.654012e-007	2.654012e-007	2.654012e-007
4.681142724751098e-006	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654013e-007	2.654013e-007	2.654013e-007	2.654013e-007
7.021714087126647e-006	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654017e-007	2.654017e-007	2.654017e-007	2.654017e-007
9.362285449502195e-006	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654026e-007	2.654026e-007	2.654026e-007	2.654026e-007
1.170285681187774e-005	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654038e-007	2.654038e-007	2.654038e-007	2.654038e-007
1.404342817425329e-005	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654054e-007	2.654054e-007	2.654054e-007	2.654054e-007
1.638399953662884e-005	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654073e-007	2.654074e-007	2.654074e-007	2.654074e-007
3.276799907325767e-005	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.655706e-007	2.655713e-007	2.655721e-007	2.655729e-007
6.553599814651534e-005	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.699263e-007	2.699660e-007	2.700060e-007	2.700464e-007
1.310719962930307e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	3.689235e-007	3.707277e-007	3.725663e-007	3.744398e-007
2.621439925860614e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.187224e-006	1.209397e-006	1.232191e-006	1.255627e-006
3.772266399417615e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	3.354280e-006	3.448615e-006	3.546359e-006	3.647655e-006
4.937120597047042e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	8.187974e-006	8.481795e-006	8.788457e-006	9.108607e-006
6.122479053786104e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.603678e-005	1.669891e-005	1.739335e-005	1.812187e-005
6.753397539335314e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.304469e-005	2.410569e-005	2.522444e-005	2.640453e-005
7.539056741584493e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	3.467791e-005	3.651330e-005	3.846512e-005	4.054193e-005
9.110375146082849e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	6.669133e-005	7.110348e-005	7.587222e-005	8.103171e-005
1.129351332115792e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.302351e-004	1.411996e-004	1.533236e-004	1.667565e-004
1.455534073910812e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.648689e-004	2.947864e-004	3.291786e-004	3.689167e-004
1.979062822270532e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	5.452448e-004	6.287540e-004	7.297673e-004	8.532137e-004
