time	V(spikes1)	V(spikes2)	V(spikes3)	V(spikes4)	V(spikes5)	V(spikes6)	V(spikes7)	V(spikes8)
0.000000000000000e+000	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007
1.170285681187774e-006	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007
2.340571362375549e-006	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007
3.510857043563323e-006	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007
4.681142724751098e-006	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007
5.851428405938872e-006	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654016e-007	2.654016e-007	2.654016e-007	2.654016e-007
7.021714087126647e-006	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654016e-007	2.654016e-007	2.654016e-007	2.654016e-007
8.191999768314418e-006	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654017e-007	2.654017e-007	2.654017e-007	2.654017e-007
1.638399953662884e-005	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.654074e-007	2.654074e-007	2.654074e-007	2.654074e-007
3.276799907325767e-005	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.655721e-007	2.655726e-007	2.655730e-007	2.655734e-007
6.553599814651534e-005	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.700076e-007	2.700304e-007	2.700534e-007	2.700765e-007
1.310719962930307e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	3.807678e-007	3.820035e-007	3.832549e-007	3.845222e-007
2.621439925860614e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.344402e-006	1.360048e-006	1.375962e-006	1.392149e-006
3.896806906632494e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	4.117339e-006	4.186710e-006	4.257547e-006	4.329884e-006
5.075215618300581e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	9.816160e-006	1.002253e-005	1.023410e-005	1.045105e-005
6.186628375808819e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.956091e-005	2.005274e-005	2.055927e-005	2.108102e-005
7.363186331018634e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	3.621924e-005	3.730286e-005	3.842516e-005	3.958773e-005
8.804662612604638e-004	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	6.745616e-005	6.990197e-005	7.245482e-005	7.512019e-005
1.075944070153466e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.307525e-004	1.366723e-004	1.429218e-004	1.495232e-004
1.345401142951240e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.596392e-004	2.749003e-004	2.913046e-004	3.089582e-004
1.748815460968856e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	5.408211e-004	5.850374e-004	6.341882e-004	6.890139e-004
2.381823751288089e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.158647e-003	1.298649e-003	1.463870e-003	1.660934e-003
3.184403851227334e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.200215e-003	2.586424e-003	3.075490e-003	3.702081e-003
3.920638444173440e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	3.450678e-003	4.286322e-003	5.416451e-003	6.959226e-003
4.615677244545841e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	4.986747e-003	6.588472e-003	8.887509e-003	1.223215e-002
5.119870170601613e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	6.419125e-003	8.919232e-003	1.268517e-002	1.851094e-002
5.481658654328118e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	7.708555e-003	1.116003e-002	1.660190e-002	2.559451e-002
5.778922313292664e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	8.989839e-003	1.351317e-002	2.100636e-002	3.440724e-002
6.034662210234481e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.028626e-002	1.601958e-002	2.604464e-002	4.581148e-002
6.253688550989429e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.156755e-002	1.862329e-002	3.169082e-002	6.074917e-002
6.435943676913300e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.277488e-002	2.119474e-002	3.771521e-002	8.005275e-002
6.575333726460407e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.378458e-002	2.342224e-002	4.325642e-002	1.008822e-001
6.595020596658886e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.393655e-002	2.376658e-002	4.415571e-002	1.048195e-001
6.634394337055846e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.425496e-002	2.450331e-002	4.615923e-002	1.151638e-001
6.713141817849764e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.491429e-002	2.605488e-002	5.053228e-002	1.432050e-001
6.777044758228236e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.546797e-002	2.737969e-002	5.440018e-002	1.744701e-001
6.787157084925138e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.555837e-002	2.759936e-002	5.506333e-002	1.815706e-001
6.807381738318942e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.574240e-002	2.805048e-002	5.645178e-002	1.995587e-001
6.812437901667393e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.578877e-002	2.816464e-002	5.680657e-002	2.051180e-001
6.822550228364295e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.588215e-002	2.839534e-002	5.752942e-002	2.186190e-001
6.825078310038520e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.590559e-002	2.845337e-002	5.771215e-002	2.231921e-001
6.830134473386971e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.595271e-002	2.857032e-002	5.808275e-002	2.371974e-001
6.840246800083873e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.604747e-002	2.880626e-002	5.883579e-002	2.763371e-001
6.853841912358698e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.617591e-002	2.912742e-002	5.987158e-002	3.430680e-001
6.868637215367370e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.631724e-002	2.948294e-002	6.103526e-002	4.308284e-001
6.889736412490977e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.652156e-002	3.000081e-002	6.276227e-002	5.765169e-001
6.913539270888120e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.675582e-002	3.059989e-002	6.480626e-002	7.601364e-001
6.939697488350478e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.701822e-002	3.127820e-002	6.718678e-002	9.759076e-001
6.969662449857180e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.732558e-002	3.208301e-002	7.011138e-002	1.226992e+000
7.006495352632714e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.771386e-002	3.311630e-002	7.404457e-002	1.523884e+000
7.055083438850614e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.824537e-002	3.456356e-002	7.996260e-002	1.873813e+000
7.127779307041271e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	1.908196e-002	3.691806e-002	9.080201e-002	2.296433e+000
7.221641123759671e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.023631e-002	4.032063e-002	1.101257e-001	2.683515e+000
7.328760404343807e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.163441e-002	4.461662e-002	1.397753e-001	2.980471e+000
7.342927623186073e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.182914e-002	4.523811e-002	1.450737e-001	3.006603e+000
7.371262060870606e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.223475e-002	4.657313e-002	1.593520e-001	3.042248e+000
7.415372304618291e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.288077e-002	4.874036e-002	1.881884e-001	3.087020e+000
7.436593459081763e-003	2.654015e-007	2.654015e-007	2.654015e-007	2.654015e-007	2.319940e-002	4.983191e-002	2.127810e-001	3.103108e+000
