time	V(spikes1)	V(spikes2)	V(spikes3)	V(spikes4)	V(spikes5)	V(spikes6)	V(spikes7)	V(spikes8)
0.000000000000000e+000	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
1.170285681187774e-006	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
2.340571362375549e-006	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
3.510857043563323e-006	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
4.681142724751098e-006	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984516e-007	3.480265e-007	4.306515e-007
5.851428405938872e-006	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654016e-007	2.984516e-007	3.480266e-007	4.306516e-007
7.021714087126647e-006	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654016e-007	2.984516e-007	3.480266e-007	4.306516e-007
8.191999768314418e-006	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654017e-007	2.984517e-007	3.480267e-007	4.306517e-007
1.638399953662884e-005	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654074e-007	2.984574e-007	3.480324e-007	4.306574e-007
3.276799907325767e-005	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.655729e-007	2.986237e-007	3.481995e-007	4.308255e-007
6.553599814651534e-005	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.700498e-007	3.031390e-007	3.527596e-007	4.354384e-007
1.310719962930307e-004	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	3.830604e-007	4.179696e-007	4.697448e-007	5.550142e-007
2.621439925860614e-004	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	1.356474e-006	1.410898e-006	1.485931e-006	1.599389e-006
3.866546758642921e-004	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	4.091229e-006	4.212225e-006	4.367173e-006	4.578319e-006
5.015630641399196e-004	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	9.701806e-006	9.984502e-006	1.033500e-005	1.078729e-005
