time,V(spikes1),V(spikes2),V(spikes3),V(spikes4),V(spikes5),V(spikes6),V(spikes7),V(spikes8)
0.000000000000000e+000,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
1.170285681187774e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
2.340571362375549e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
3.510857043563323e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
4.681142724751098e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
5.851428405938872e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654016e-007,2.654016e-007,2.654016e-007,2.654016e-007
7.021714087126647e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654016e-007,2.654016e-007,2.654016e-007,2.654016e-007
8.191999768314418e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654017e-007,2.654017e-007,2.654017e-007,2.654017e-007
1.638399953662884e-005,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654073e-007,2.654074e-007,2.654074e-007,2.654074e-007
3.276799907325767e-005,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.655706e-007,2.655713e-007,2.655721e-007,2.655729e-007
6.553599814651534e-005,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.699263e-007,2.699659e-007,2.700059e-007,2.700463e-007
1.310719962930307e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.764379e-007,3.785333e-007,3.806757e-007,3.828664e-007
2.621439925860614e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,1.295384e-006,1.321759e-006,1.348934e-006,1.376938e-006
3.907262174754586e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.929383e-006,4.046094e-006,4.167179e-006,4.292823e-006
5.098740030852270e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,9.290635e-006,9.636023e-006,9.996924e-006,1.037413e-005
6.229968638886377e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,1.839359e-005,1.921331e-005,2.007673e-005,2.098652e-005
7.437874254242972e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.383301e-005,3.563124e-005,3.754422e-005,3.958042e-005
8.930371187027056e-004,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,6.244305e-005,6.647850e-005,7.083139e-005,7.553121e-005
1.100324197136473e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,1.202014e-004,1.299778e-004,1.407459e-004,1.526275e-004
1.397794664689512e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.378813e-004,2.634771e-004,2.926875e-004,3.261710e-004
1.891982313911991e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,4.941752e-004,5.664454e-004,6.530879e-004,7.579181e-004
2.416691424045556e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,8.161389e-004,9.696958e-004,1.164446e-003,1.415892e-003
3.024804515756496e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,1.217981e-003,1.515582e-003,1.924440e-003,2.507390e-003
3.743220360746382e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,1.692954e-003,2.232025e-003,3.056980e-003,4.399338e-003
4.450661498286530e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.143712e-003,3.006862e-003,4.506276e-003,7.303177e-003
5.137649533893589e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.558361e-003,3.839889e-003,6.407480e-003,1.189643e-002
5.754520203212152e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.911395e-003,4.675623e-003,8.716513e-003,1.854807e-002
6.192744843348075e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.151981e-003,5.342312e-003,1.088319e-002,2.600138e-002
6.520680289199369e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.326943e-003,5.899678e-003,1.294474e-002,3.454676e-002
6.789678000860967e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.467825e-003,6.403742e-003,1.501232e-002,4.504183e-002
7.015795133778176e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.584755e-003,6.865116e-003,1.708082e-002,5.824381e-002
7.203379761855803e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.680882e-003,7.277080e-003,1.907997e-002,7.480519e-002
7.353034671893371e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.757080e-003,7.626450e-003,2.089584e-002,9.479128e-002
7.460703133918442e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.811681e-003,7.888795e-003,2.232845e-002,1.146347e-001
7.476936316205634e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.819893e-003,7.929524e-003,2.255889e-002,1.185454e-001
7.509402680780016e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.836290e-003,8.012712e-003,2.304213e-002,1.285813e-001
7.574335409928781e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.869057e-003,8.181034e-003,2.403497e-002,1.524409e-001
7.584168346781581e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.874015e-003,8.206849e-003,2.418980e-002,1.568939e-001
7.603834220487180e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.883922e-003,8.259150e-003,2.450893e-002,1.685672e-001
7.643165967898379e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.903725e-003,8.364640e-003,2.516006e-002,1.991958e-001
7.663041607794077e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.913728e-003,8.418383e-003,2.549550e-002,2.202437e-001
7.666244771278113e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.915339e-003,8.427104e-003,2.555045e-002,2.256977e-001
7.672651098246186e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.918561e-003,8.444619e-003,2.566145e-002,2.436668e-001
7.685463752182333e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.925003e-003,8.479780e-003,2.588544e-002,2.953601e-001
7.701404003103525e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.933016e-003,8.523753e-003,2.616764e-002,3.780220e-001
7.718482901580465e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.941597e-003,8.571189e-003,2.647505e-002,4.851754e-001
7.740889555177476e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.952851e-003,8.633918e-003,2.688624e-002,6.470981e-001
7.764605769982474e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.964757e-003,8.700923e-003,2.733131e-002,8.354938e-001
7.792072486121704e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.978538e-003,8.779353e-003,2.786047e-002,1.064448e+000
7.823557573508406e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,3.994327e-003,8.870389e-003,2.848632e-002,1.326004e+000
7.864127269332225e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,4.014656e-003,8.989555e-003,2.932557e-002,1.643169e+000
7.918614540851042e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,4.041935e-003,9.153224e-003,3.052020e-002,2.009446e+000
8.008289589213855e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,4.086784e-003,9.430704e-003,3.264765e-002,2.471917e+000
8.107605270948426e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,4.136399e-003,9.749967e-003,3.526444e-002,2.810921e+000
8.224347096236984e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,4.194661e-003,1.014259e-002,3.876182e-002,2.990528e+000
8.340198374469372e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,4.252436e-003,1.055133e-002,4.276441e-002,2.924894e+000
8.448483271593249e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,4.306417e-003,1.095023e-002,4.703280e-002,2.669576e+000
8.501095155598189e-003,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,4.332643e-003,1.115168e-002,4.938268e-002,2.502085e+000
