time	V(spikes1)	V(spikes2)	V(spikes3)	V(spikes4)	V(spikes5)	V(spikes6)	V(spikes7)	V(spikes8)
0.000000000000000e+000	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
1.462857101484718e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
2.925714202969436e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
4.388571304454154e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
5.851428405938872e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
7.314285507423590e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
8.777142608908308e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
1.023999971039302e-006	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
4.095999884157209e-006	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007	2.654015e-007	2.984515e-007	3.480265e-007	4.306515e-007
1.638399953662884e-005	2.654043e-007	2.984543e-007	3.480293e-007	4.306543e-007	2.654043e-007	2.984543e-007	3.480293e-007	4.306543e-007
3.276799907325767e-005	2.654825e-007	2.985329e-007	3.481083e-007	4.307337e-007	2.654824e-007	2.985328e-007	3.481082e-007	4.307336e-007
6.553599814651534e-005	2.675881e-007	3.006565e-007	3.502529e-007	4.329032e-007	2.675840e-007	3.006523e-007	3.502487e-007	4.328990e-007
1.310719962930307e-004	3.162568e-007	3.501106e-007	4.006368e-007	4.844051e-007	3.160555e-007	3.499062e-007	4.004287e-007	4.841925e-007
2.621439925860614e-004	8.108417e-007	8.553088e-007	9.185239e-007	1.017730e-006	8.074095e-007	8.518086e-007	9.149427e-007	1.014050e-006
4.133046185002929e-004	2.707697e-006	2.803406e-006	2.928485e-006	3.103838e-006	2.686378e-006	2.781587e-006	2.906067e-006	3.080686e-006
5.669293893614326e-004	7.299412e-006	7.546143e-006	7.855350e-006	8.260029e-006	7.220187e-006	7.464780e-006	7.771401e-006	8.172892e-006
7.115663961837621e-004	1.550816e-005	1.608147e-005	1.679353e-005	1.770705e-005	1.529296e-005	1.585960e-005	1.656353e-005	1.746694e-005
8.699408664145390e-004	3.024358e-005	3.152131e-005	3.311469e-005	3.516081e-005	2.970834e-005	3.096680e-005	3.253649e-005	3.455277e-005
1.062954024244235e-003	5.757726e-005	6.043608e-005	6.404601e-005	6.874617e-005	5.623172e-005	5.903291e-005	6.257097e-005	6.717902e-005
1.349010307767789e-003	1.179918e-004	1.251832e-004	1.344836e-004	1.469620e-004	1.139040e-004	1.208746e-004	1.298923e-004	1.419966e-004
1.887450605394285e-003	2.720520e-004	2.923904e-004	3.194397e-004	3.570637e-004	2.576205e-004	2.770204e-004	3.028412e-004	3.387910e-004
2.383711420313179e-003	4.448981e-004	4.823173e-004	5.330945e-004	6.056492e-004	4.129750e-004	4.480767e-004	4.957702e-004	5.640294e-004
2.957180777388467e-003	6.674370e-004	7.294283e-004	8.152757e-004	9.414459e-004	6.018457e-004	6.585802e-004	7.373134e-004	8.533412e-004
3.622959563231187e-003	9.339784e-004	1.027534e-003	1.159496e-003	1.358689e-003	8.077266e-004	8.902677e-004	1.007070e-003	1.184133e-003
4.531121325610792e-003	1.295262e-003	1.433242e-003	1.631218e-003	1.937933e-003	1.047455e-003	1.162150e-003	1.327554e-003	1.585583e-003
5.507683825610792e-003	1.677351e-003	1.862801e-003	2.131960e-003	2.556684e-003	1.247779e-003	1.390775e-003	1.599827e-003	1.933081e-003
