time,V(spikes1),V(spikes2),V(spikes3),V(spikes4),V(spikes5),V(spikes6),V(spikes7),V(spikes8)
0.000000000000000e+000,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
1.462857101484718e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
2.925714202969436e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
4.388571304454154e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
5.851428405938872e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
7.314285507423590e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
8.777142608908308e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
1.023999971039302e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
4.095999884157209e-006,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007,2.654015e-007
1.638399953662884e-005,2.654043e-007,2.654043e-007,2.654043e-007,2.654043e-007,2.654043e-007,2.654043e-007,2.654043e-007,2.654043e-007
3.276799907325767e-005,2.654814e-007,2.654818e-007,2.654821e-007,2.654825e-007,2.654814e-007,2.654817e-007,2.654821e-007,2.654824e-007
6.553599814651534e-005,2.675301e-007,2.675487e-007,2.675675e-007,2.675864e-007,2.675261e-007,2.675447e-007,2.675634e-007,2.675823e-007
