time,V(spikes1),V(spikes2),V(spikes3),V(spikes4),V(spikes5),V(spikes6),V(spikes7),V(spikes8)
-1.0,0,0,0,0,42,70,93,110
-0.95,0,0,0,0,37,69,91,108
-0.9,0,0,0,0,32,66,88,106
-0.85,0,0,0,0,26,63,86,104
-0.8,0,0,0,0,17,59,83,102
-0.75,0,0,0,0,0,55,80,99
-0.7,0,0,0,0,0,51,77,97
-0.65,0,0,0,0,0,47,74,94
-0.6,0,0,0,0,0,41,70,91
-0.55,0,0,0,0,0,35,66,88
-0.5,0,0,0,0,0,27,62,84
-0.45,0,0,0,0,0,16,57,81
-0.4,0,0,0,0,0,0,52,77
-0.35,0,0,0,0,0,0,46,71
-0.3,0,0,0,0,0,0,39,67
-0.25,0,0,0,0,0,0,29,62
-0.2,0,0,0,0,0,0,16,56
-0.15,0,0,0,0,0,0,0,48
-0.1,0,0,0,0,0,0,0,40
-0.05,0,0,0,4,0,0,0,4
0.05,0,0,0,28,0,0,0,0
0.1,0,0,0,40,0,0,0,0
0.15,0,0,0,48,0,0,0,0
0.2,0,0,16,56,0,0,0,0
0.25,0,0,29,62,0,0,0,0
0.3,0,0,39,67,0,0,0,0
0.35,0,0,46,72,0,0,0,0
0.4,0,0,52,77,0,0,0,0
0.45,0,16,57,81,0,0,0,0
0.5,0,27,62,84,0,0,0,0
0.55,0,35,66,88,0,0,0,0
0.6,0,41,70,91,0,0,0,0
0.65,0,47,74,94,0,0,0,0
0.7,0,50,77,97,0,0,0,0
0.75,0,55,80,99,0,0,0,0
0.8,17,59,83,102,0,0,0,0
0.85,26,63,86,104,0,0,0,0
0.9,32,66,88,106,0,0,0,0
0.95,37,69,91,108,0,0,0,0
1.0,42,71,93,110,0,0,0,0
