time	V(vout)
0.000000000000000e+000	3.805741e-009
2.340571362375549e-006	3.805725e-009
4.681142724751098e-006	3.805704e-009
7.021714087126647e-006	3.805677e-009
9.362285449502195e-006	3.805644e-009
1.170285681187774e-005	3.805605e-009
1.404342817425329e-005	3.805561e-009
1.638399953662884e-005	3.805511e-009
3.276799907325767e-005	3.805232e-009
6.553599814651534e-005	3.804673e-009
1.310719962930307e-004	3.803557e-009
2.621439925860614e-004	3.801323e-009
3.779210618777559e-004	3.799351e-009
4.950723163495168e-004	3.797357e-009
6.147299390896783e-004	3.795321e-009
6.782496591242573e-004	3.794241e-009
7.578537751016364e-004	3.792887e-009
9.170620070563945e-004	3.790182e-009
1.144980665522382e-003	3.786313e-009
1.492769481915528e-003	3.780416e-009
2.116216915887624e-003	3.769780e-009
2.828493025390125e-003	3.756843e-009
3.805055525390125e-003	3.735519e-009
4.592771301008701e-003	3.711564e-009
5.168913634400511e-003	3.685231e-009
5.606677084746258e-003	3.655139e-009
6.001029780701338e-003	3.615037e-009
6.375343528936038e-003	3.559391e-009
6.724585010854686e-003	3.484633e-009
7.036874390382198e-003	3.391342e-009
7.309492541651173e-003	3.284017e-009
7.541529709107621e-003	3.176094e-009
7.732985542668403e-003	3.092734e-009
7.885962004059288e-003	3.068890e-009
7.998246370360210e-003	3.125528e-009
8.055583035966216e-003	3.242143e-009
8.120606740185667e-003	3.501365e-009
8.133401120203731e-003	3.589357e-009
8.158989880239857e-003	3.835699e-009
8.165387070248888e-003	3.915266e-009
8.178181450266952e-003	4.158895e-009
8.203770210303078e-003	4.841838e-009
8.206924103097908e-003	4.983070e-009
8.213231888687569e-003	5.521261e-009
8.225847459866893e-003	7.401628e-009
8.242168594024348e-003	1.131554e-008
8.259392661502661e-003	1.776191e-008
8.282015219300888e-003	3.025654e-008
8.305847177640033e-003	4.838196e-008
8.333857753592171e-003	7.535910e-008
8.366146163452473e-003	1.114548e-007
8.405535405589783e-003	1.622808e-007
8.444546214822438e-003	2.340836e-007
8.490471523777113e-003	3.971234e-007
8.538585439664419e-003	7.472176e-007
8.592496565544663e-003	1.382805e-006
8.646059889721676e-003	2.031964e-006
8.705183412141890e-003	2.194825e-006
8.766645745839746e-003	1.030033e-006
8.822157266140831e-003	-1.975052e-006
8.872387584547836e-003	-7.024135e-006
8.922659179896238e-003	-1.455572e-005
8.973087842755117e-003	-2.436530e-005
9.019825095173814e-003	-3.545608e-005
9.088993089776162e-003	-5.479887e-005
9.175658715873726e-003	-8.175334e-005
9.187252793100089e-003	-8.562986e-005
9.210440947552814e-003	-9.371714e-005
9.226002327689942e-003	-9.921617e-005
9.229892672724224e-003	-1.006066e-004
9.237673362792787e-003	-1.034087e-004
9.248894045489974e-003	-1.074711e-004
9.251699216164271e-003	-1.084913e-004
9.252400508832845e-003	-1.087470e-004
9.253803094169993e-003	-1.092589e-004
9.256608264844290e-003	-1.102847e-004
9.262218606192883e-003	-1.123429e-004
9.270539640488065e-003	-1.154114e-004
9.287153971844531e-003	-1.215869e-004
