time	V(vin)	V(n032)
0.000000000000000e+000	0.000000e+000	2.854310e-009
1.462857101484718e-007	1.838280e-006	2.854310e-009
2.925714202969436e-007	3.676561e-006	2.854310e-009
4.388571304454154e-007	5.514841e-006	2.854310e-009
5.851428405938872e-007	7.353122e-006	2.854310e-009
7.314285507423590e-007	9.191402e-006	2.854310e-009
8.777142608908308e-007	1.102968e-005	2.854310e-009
1.023999971039302e-006	1.286796e-005	2.854310e-009
4.095999884157209e-006	5.147185e-005	2.854323e-009
1.638399953662884e-005	2.058874e-004	2.854444e-009
3.276799907325767e-005	4.117748e-004	2.854612e-009
6.553599814651534e-005	8.235496e-004	2.854947e-009
1.310719962930307e-004	1.647099e-003	2.855616e-009
2.621439925860614e-004	3.294193e-003	2.856958e-009
4.218166854667773e-004	5.300680e-003	2.858594e-009
5.830356951278689e-004	7.326577e-003	2.860249e-009
7.402751499728471e-004	9.302437e-003	2.861865e-009
9.200063292904597e-004	1.156088e-002	2.863715e-009
1.165861091325546e-003	1.465012e-002	2.866252e-009
1.640400341757561e-003	2.061242e-002	2.871167e-009
2.086616570729996e-003	2.621819e-002	2.875818e-009
2.605171121110196e-003	3.273170e-002	2.881278e-009
3.164048971390298e-003	3.975014e-002	2.887268e-009
3.947878885075026e-003	4.959016e-002	2.895940e-009
4.924441385075026e-003	6.184287e-002	2.907314e-009
5.901003885075026e-003	7.408626e-002	2.919550e-009
6.877566385075026e-003	8.631849e-002	2.932949e-009
7.854128885075026e-003	9.853773e-002	2.947769e-009
8.830691385075026e-003	1.107421e-001	2.964254e-009
9.807253885075026e-003	1.229298e-001	2.982642e-009
1.078381638507503e-002	1.350991e-001	3.003187e-009
1.176037888507503e-002	1.472479e-001	3.026175e-009
1.273694138507503e-002	1.593746e-001	3.051950e-009
1.371350388507503e-002	1.714773e-001	3.080954e-009
1.469006638507503e-002	1.835541e-001	3.113772e-009
1.566662888507503e-002	1.956034e-001	3.151218e-009
1.664319138507503e-002	2.076231e-001	3.194474e-009
1.761975388507503e-002	2.196116e-001	3.245332e-009
1.859631638507503e-002	2.315670e-001	3.306639e-009
1.957287888507503e-002	2.434876e-001	3.383173e-009
2.054944138507503e-002	2.553715e-001	3.483625e-009
2.152600388507503e-002	2.672169e-001	3.621478e-009
2.233339760224862e-002	2.769800e-001	3.783268e-009
2.297332628185048e-002	2.846979e-001	3.968395e-009
2.348164383889862e-002	2.908155e-001	4.181223e-009
2.389028126763773e-002	2.957248e-001	4.429434e-009
2.421883424198367e-002	2.996663e-001	4.720806e-009
2.447938087709624e-002	3.027883e-001	5.060341e-009
2.468024051892250e-002	3.051929e-001	5.444563e-009
2.482229143018207e-002	3.068924e-001	5.814074e-009
2.484671571488080e-002	3.071845e-001	5.897014e-009
2.489556428427826e-002	3.077686e-001	6.110018e-009
2.499326142307318e-002	3.089364e-001	6.701145e-009
2.509303714748542e-002	3.101287e-001	7.548743e-009
2.510847853396996e-002	3.103132e-001	7.743509e-009
2.513936130693904e-002	3.106821e-001	8.249743e-009
2.514708200018131e-002	3.107743e-001	8.404299e-009
2.516252338666585e-002	3.109587e-001	8.785279e-009
2.517620660927120e-002	3.111221e-001	9.219990e-009
2.519049729828202e-002	3.112928e-001	9.809468e-009
2.519247522089622e-002	3.113164e-001	9.923024e-009
2.519643106612464e-002	3.113637e-001	1.026978e-008
2.520434275658146e-002	3.114581e-001	1.134518e-008
2.521730967698392e-002	3.116130e-001	1.395592e-008
2.523083560072585e-002	3.117745e-001	1.807792e-008
2.525315202914904e-002	3.120409e-001	2.830652e-008
2.527747005704140e-002	3.123313e-001	4.442651e-008
2.530500186815572e-002	3.126599e-001	6.909368e-008
2.533537066797792e-002	3.130224e-001	1.027367e-007
2.537359646554879e-002	3.134786e-001	1.533710e-007
2.541960597397818e-002	3.140275e-001	2.381543e-007
2.546615298889770e-002	3.145828e-001	4.042062e-007
2.551988435838177e-002	3.152237e-001	8.166951e-007
2.557662644795681e-002	3.159003e-001	1.581286e-006
2.563005261671333e-002	3.165372e-001	2.504118e-006
2.569929315761856e-002	3.173624e-001	3.749708e-006
2.576708760872442e-002	3.181702e-001	4.987215e-006
2.576862238274086e-002	3.181885e-001	5.016914e-006
2.577169193077374e-002	3.182251e-001	5.083707e-006
2.577783102683951e-002	3.182982e-001	5.240250e-006
2.579010921897104e-002	3.184445e-001	5.605962e-006
2.581466560323410e-002	3.187370e-001	6.482315e-006
2.585639271676132e-002	3.192339e-001	8.311368e-006
2.589818098216834e-002	3.197315e-001	1.055900e-005
2.593627723001839e-002	3.201851e-001	1.305039e-005
2.598213778575181e-002	3.207310e-001	1.669070e-005
2.606872216135719e-002	3.217614e-001	2.485653e-005
2.614899916788323e-002	3.227164e-001	3.360690e-005
2.622486185705941e-002	3.236185e-001	4.289334e-005
2.631243899123369e-002	3.246596e-001	5.443588e-005
2.639474565806233e-002	3.256377e-001	6.577741e-005
2.649052685488982e-002	3.267755e-001	7.928676e-005
2.658946780118856e-002	3.279504e-001	9.331472e-005
2.671390401233430e-002	3.294272e-001	1.108403e-004
2.685546058068449e-002	3.311062e-001	1.304912e-004
2.704746181190396e-002	3.333819e-001	1.566881e-004
2.723110645980590e-002	3.355567e-001	1.813052e-004
