time	V(vin)	V(vout)
0.000000000000000e+000	-1.000000e+000	7.611439e-009
2.340571362375549e-006	-9.999974e-001	7.611414e-009
4.681142724751098e-006	-9.999949e-001	7.611378e-009
7.021714087126647e-006	-9.999923e-001	7.611328e-009
9.362285449502195e-006	-9.999897e-001	7.611267e-009
1.170285681187774e-005	-9.999871e-001	7.611192e-009
1.404342817425329e-005	-9.999846e-001	7.611105e-009
1.638399953662884e-005	-9.999820e-001	7.611006e-009
3.276799907325767e-005	-9.999640e-001	7.610447e-009
6.553599814651534e-005	-9.999280e-001	7.609331e-009
1.310719962930307e-004	-9.998560e-001	7.607097e-009
2.621439925860614e-004	-9.997120e-001	7.602631e-009
3.759287716207477e-004	-9.995869e-001	7.598754e-009
4.911693759441049e-004	-9.994602e-001	7.594829e-009
6.076296293075083e-004	-9.993322e-001	7.590865e-009
6.699198287046867e-004	-9.992638e-001	7.588747e-009
7.465900326557295e-004	-9.991794e-001	7.586141e-009
8.999304405578150e-004	-9.990108e-001	7.580930e-009
1.102474765261744e-003	-9.987881e-001	7.574052e-009
1.396819314974730e-003	-9.984642e-001	7.564074e-009
1.814000767484142e-003	-9.980051e-001	7.549911e-009
2.494949715976995e-003	-9.972551e-001	7.526151e-009
3.280933553827263e-003	-9.963889e-001	7.495940e-009
3.905793472601543e-003	-9.956998e-001	7.466665e-009
4.348003132823278e-003	-9.952117e-001	7.439412e-009
4.687086293187438e-003	-9.948374e-001	7.411158e-009
4.994783531338925e-003	-9.944975e-001	7.376195e-009
5.290907272686630e-003	-9.941704e-001	7.330050e-009
5.571724561096429e-003	-9.938601e-001	7.270277e-009
5.831289542596486e-003	-9.935731e-001	7.196967e-009
6.061115670543104e-003	-9.933190e-001	7.116634e-009
6.259507005813242e-003	-9.930995e-001	7.043668e-009
6.425574033436776e-003	-9.929158e-001	7.004685e-009
6.559884028199002e-003	-9.927672e-001	7.037139e-009
6.659028192370710e-003	-9.926575e-001	7.136085e-009
6.673269598880778e-003	-9.926417e-001	7.166638e-009
6.701752411900915e-003	-9.926102e-001	7.277497e-009
6.758718037941188e-003	-9.925472e-001	7.595024e-009
6.767081610382145e-003	-9.925379e-001	7.665133e-009
6.783808755264059e-003	-9.925194e-001	7.897410e-009
6.817263045027888e-003	-9.924824e-001	8.549069e-009
6.821290093728851e-003	-9.924779e-001	8.659222e-009
6.822296855904092e-003	-9.924768e-001	8.693507e-009
6.824310380254573e-003	-9.924746e-001	8.770876e-009
6.828337428955535e-003	-9.924701e-001	8.993354e-009
6.836087934189970e-003	-9.924615e-001	9.737732e-009
6.848697554081663e-003	-9.924476e-001	1.172529e-008
6.862038326222364e-003	-9.924328e-001	1.506484e-008
6.881949714908474e-003	-9.924108e-001	2.272318e-008
6.904035915828992e-003	-9.923863e-001	3.519989e-008
6.928498364186546e-003	-9.923592e-001	5.423043e-008
6.955725572979748e-003	-9.923291e-001	8.084953e-008
6.988926631189022e-003	-9.922923e-001	1.183531e-007
7.026936089624541e-003	-9.922503e-001	1.679296e-007
7.066683950828068e-003	-9.922062e-001	2.423415e-007
