time	V(n038)
0.000000000000000e+000	7.611439e-009
1.462857101484718e-007	7.611439e-009
2.925714202969436e-007	7.611439e-009
4.388571304454154e-007	7.611439e-009
5.851428405938872e-007	7.611439e-009
7.314285507423590e-007	7.611439e-009
8.777142608908308e-007	7.611439e-009
1.023999971039302e-006	7.611439e-009
4.095999884157209e-006	7.611464e-009
1.638399953662884e-005	7.611770e-009
3.276799907325767e-005	7.612217e-009
6.553599814651534e-005	7.613109e-009
1.310719962930307e-004	7.614895e-009
2.621439925860614e-004	7.618473e-009
4.185998722889162e-004	7.622751e-009
5.768270004751811e-004	7.627081e-009
7.287821704596624e-004	7.631244e-009
8.990973269136515e-004	7.635917e-009
1.119461929335834e-003	7.641975e-009
1.477306988831733e-003	7.651848e-009
1.916138884995595e-003	7.664021e-009
2.383728129574238e-003	7.677115e-009
2.929222771113735e-003	7.692647e-009
3.601769326110180e-003	7.712441e-009
4.538539830873152e-003	7.741700e-009
5.515102330873152e-003	7.775228e-009
6.491664830873152e-003	7.813496e-009
7.468227330873152e-003	7.858554e-009
8.444789830873153e-003	7.913146e-009
9.421352330873153e-003	7.981450e-009
1.039791483087315e-002	8.069073e-009
1.121267856846464e-002	8.165066e-009
1.191008547373142e-002	8.275009e-009
1.251875431903448e-002	8.405268e-009
1.305055120488463e-002	8.562528e-009
1.350937126884523e-002	8.753498e-009
1.389815854326795e-002	8.985652e-009
1.422093219710796e-002	9.267464e-009
1.448544752871656e-002	9.610921e-009
1.469496449163340e-002	1.002089e-008
1.485134958427325e-002	1.044433e-008
1.487495828770981e-002	1.052880e-008
1.492217569458293e-002	1.074842e-008
1.501661050832917e-002	1.136663e-008
1.511511471016193e-002	1.227869e-008
1.512927786247355e-002	1.247490e-008
1.515760416709681e-002	1.298694e-008
1.516468574325262e-002	1.314327e-008
1.517884889556424e-002	1.351224e-008
1.518238968364215e-002	1.361797e-008
1.518947125979796e-002	1.387429e-008
1.520034327593108e-002	1.433733e-008
1.520208071019121e-002	1.443119e-008
1.520555557871147e-002	1.469993e-008
1.521250531575199e-002	1.553280e-008
1.522446153952994e-002	1.767915e-008
1.523681364463220e-002	2.106629e-008
1.525893377021578e-002	3.024898e-008
1.528219942917652e-002	4.445946e-008
1.530920615228546e-002	6.723815e-008
1.533794509672411e-002	9.777283e-008
1.537437481024643e-002	1.438790e-007
1.541828625120884e-002	2.157600e-007
1.546260452229324e-002	3.429274e-007
1.551393841021179e-002	6.563016e-007
1.556854239035358e-002	1.284737e-006
1.562324594206310e-002	2.157781e-006
1.568331262521672e-002	3.108191e-006
1.575228439856664e-002	4.022901e-006
1.582483008933019e-002	4.921845e-006
1.583487039317178e-002	5.070691e-006
1.585495100085496e-002	5.421041e-006
1.585997115277576e-002	5.515384e-006
1.587001145661735e-002	5.710145e-006
1.589009206430053e-002	6.102991e-006
1.591780969586853e-002	6.692401e-006
1.594781702425463e-002	7.437356e-006
1.600783168102682e-002	9.276096e-006
1.611961768099041e-002	1.343070e-005
1.620303245105173e-002	1.705253e-005
1.627683937550837e-002	2.064049e-005
1.636080748712995e-002	2.499586e-005
1.644608646840612e-002	2.959689e-005
1.654505353602585e-002	3.505313e-005
1.665093618044740e-002	4.093002e-005
1.678239182088483e-002	4.820404e-005
1.693779780495475e-002	5.672284e-005
1.714739218454297e-002	6.807077e-005
1.732463493862405e-002	7.753753e-005
1.748101928965999e-002	8.577295e-005
1.764062128631751e-002	9.406283e-005
1.780951431178665e-002	1.027151e-004
1.796800331957649e-002	1.107192e-004
1.812800296669983e-002	1.186826e-004
1.828236247015745e-002	1.262529e-004
1.844006083017529e-002	1.338712e-004
1.859503169540641e-002	1.412432e-004
1.875306930506384e-002	1.486428e-004
1.891021320182068e-002	1.559081e-004
1.893037492574255e-002	1.568313e-004
1.897069837358630e-002	1.586652e-004
1.902317534631682e-002	1.610440e-004
1.903255279791988e-002	1.614678e-004
1.905130770112600e-002	1.623139e-004
1.905599642692754e-002	1.625252e-004
1.906537387853060e-002	1.629473e-004
1.907738173063967e-002	1.634877e-004
1.908038369366694e-002	1.636227e-004
1.908638761972148e-002	1.638928e-004
1.909839547183055e-002	1.644334e-004
1.911386389953087e-002	1.651312e-004
1.913099576825313e-002	1.659071e-004
1.915404114150000e-002	1.669585e-004
1.917901297478189e-002	1.681112e-004
1.920723437500200e-002	1.694365e-004
1.923979812613524e-002	1.710027e-004
1.928111314933075e-002	1.730658e-004
1.933407043139974e-002	1.759236e-004
1.939294656652822e-002	1.796588e-004
1.944367434481897e-002	1.839741e-004
1.950224091327880e-002	1.912904e-004
1.955943086801256e-002	2.029879e-004
1.962865671767471e-002	2.267876e-004
1.969959904146100e-002	2.627367e-004
1.977163607402729e-002	3.053722e-004
1.984359538782426e-002	3.455812e-004
1.989061459026150e-002	3.676633e-004
1.994595363775866e-002	3.889671e-004
2.002716476169614e-002	4.153431e-004
2.011070277302914e-002	4.387837e-004
2.020050489904820e-002	4.611221e-004
2.028175748025751e-002	4.796177e-004
2.037599365744089e-002	4.997374e-004
2.047302524156272e-002	5.194378e-004
2.059533706658492e-002	5.432325e-004
2.073360151976880e-002	5.692368e-004
2.091967585276675e-002	6.033151e-004
2.111103065398731e-002	6.376013e-004
2.127533624195659e-002	6.664087e-004
2.143145174640738e-002	6.931853e-004
2.160347982773338e-002	7.220584e-004
2.176404240292757e-002	7.484131e-004
2.192546823906250e-002	7.743085e-004
2.207979660488585e-002	7.984978e-004
2.223772530075903e-002	8.226710e-004
2.239241580661530e-002	8.457784e-004
2.255027502764510e-002	8.687705e-004
2.270652943065206e-002	8.909394e-004
2.286653388031525e-002	9.130256e-004
2.302778529581773e-002	9.346495e-004
2.319562069218935e-002	9.564721e-004
2.337009600136764e-002	9.784104e-004
2.355839916353361e-002	1.001221e-003
2.376459833969219e-002	1.025154e-003
2.400077093122901e-002	1.051197e-003
2.428263516869158e-002	1.080451e-003
2.456981619978038e-002	1.108355e-003
2.479001542932811e-002	1.128427e-003
2.492816963350474e-002	1.140422e-003
2.494914511970224e-002	1.142185e-003
2.499109609209724e-002	1.145631e-003
2.507499803688723e-002	1.152407e-003
2.515543207266186e-002	1.158778e-003
2.519292949747141e-002	1.161698e-003
2.520230385367380e-002	1.162420e-003
2.522105256607858e-002	1.163855e-003
2.522573974417977e-002	1.164213e-003
2.523511410038216e-002	1.164927e-003
2.524987378455119e-002	1.166050e-003
2.526877955642828e-002	1.167490e-003
2.528918930820399e-002	1.169055e-003
2.531613592488724e-002	1.171149e-003
2.534139598884201e-002	1.173161e-003
2.537340133351708e-002	1.175808e-003
2.540919246366126e-002	1.178934e-003
2.545654255946704e-002	1.183513e-003
2.552299525951451e-002	1.191276e-003
2.557428247386109e-002	1.199842e-003
2.562713101771931e-002	1.214361e-003
2.568257421742389e-002	1.242814e-003
2.575145944333708e-002	1.309597e-003
2.581909396497808e-002	1.408268e-003
2.582070030433079e-002	1.411304e-003
2.582391298303620e-002	1.418135e-003
2.583033834044703e-002	1.432021e-003
2.584318905526868e-002	1.460817e-003
2.586889048491198e-002	1.520358e-003
2.587531584232281e-002	1.535562e-003
2.588816655714446e-002	1.566278e-003
2.589137923584987e-002	1.573944e-003
2.589780459326070e-002	1.589150e-003
2.591065530808235e-002	1.618730e-003
2.593635673772566e-002	1.674825e-003
2.596075908407328e-002	1.722628e-003
2.600956377676853e-002	1.801389e-003
2.609168131953794e-002	1.903627e-003
2.617333057851665e-002	1.979081e-003
2.624805114200349e-002	2.030636e-003
2.632771388670157e-002	2.073781e-003
2.641208663649337e-002	2.111366e-003
2.650159694966868e-002	2.145365e-003
2.659880222605644e-002	2.177658e-003
2.671242397207733e-002	2.211456e-003
2.684717931019234e-002	2.248225e-003
2.701808009551985e-002	2.291905e-003
2.723946131663277e-002	2.345697e-003
2.740807376336176e-002	2.385106e-003
2.743266309578790e-002	2.390671e-003
2.748184176064017e-002	2.401581e-003
2.752571999097812e-002	2.411231e-003
2.753668954856260e-002	2.413622e-003
2.755862866373158e-002	2.418377e-003
2.756411344252382e-002	2.419561e-003
2.757508300010830e-002	2.421919e-003
2.759702211527728e-002	2.426617e-003
2.761318671026765e-002	2.430061e-003
2.763100898614586e-002	2.433854e-003
2.765599943780301e-002	2.439290e-003
2.768011018102550e-002	2.445424e-003
2.772833166747048e-002	2.462144e-003
2.777197491312468e-002	2.486762e-003
2.783897827203806e-002	2.548208e-003
2.791444079819586e-002	2.648679e-003
2.803085346762321e-002	2.836569e-003
2.813756174103079e-002	3.006080e-003
2.825934885676480e-002	3.171885e-003
2.836418219141965e-002	3.289468e-003
2.841732091391787e-002	3.339979e-003
2.848818001401557e-002	3.400238e-003
2.855990127392954e-002	3.457070e-003
2.864143267177294e-002	3.517758e-003
2.873295896094889e-002	3.582495e-003
2.882266065678736e-002	3.643301e-003
2.892149517577581e-002	3.707985e-003
2.903136390032981e-002	3.777890e-003
2.916480553987631e-002	3.860837e-003
2.932669224114331e-002	3.959339e-003
2.951157370386282e-002	4.069333e-003
2.969593500232077e-002	4.176428e-003
2.985886759489974e-002	4.268780e-003
3.001705056458492e-002	4.356253e-003
3.018462461126059e-002	4.446683e-003
3.034199369141563e-002	4.529501e-003
3.050227302219049e-002	4.611711e-003
3.065657391402500e-002	4.688818e-003
3.081469500225284e-002	4.765744e-003
3.096982613833661e-002	4.839166e-003
3.112867448434748e-002	4.912228e-003
3.128684726559655e-002	4.982848e-003
3.145029751858031e-002	5.053577e-003
3.161727638930461e-002	5.123470e-003
3.179464912853371e-002	5.195086e-003
3.198426925828185e-002	5.268640e-003
3.219671826144592e-002	5.347739e-003
3.235192278425547e-002	5.403444e-003
3.242790262620723e-002	5.429966e-003
3.244689758669517e-002	5.436482e-003
3.248488750767105e-002	5.449367e-003
3.253713689791886e-002	5.466956e-003
3.254598784868867e-002	5.469915e-003
3.256368975022828e-002	5.475800e-003
3.256811522561319e-002	5.477268e-003
3.257696617638300e-002	5.480196e-003
3.257917891407545e-002	5.480928e-003
3.258360438946036e-002	5.482388e-003
3.259245534023016e-002	5.485306e-003
3.259466807792261e-002	5.486034e-003
3.259909355330752e-002	5.487489e-003
3.260794450407733e-002	5.490393e-003
3.262123489536241e-002	5.494755e-003
3.263534599629935e-002	5.499545e-003
3.266356819817325e-002	5.510813e-003
3.270494449962438e-002	5.534810e-003
3.275198182952867e-002	5.581697e-003
3.280950030508867e-002	5.680008e-003
3.287646290096925e-002	5.857128e-003
3.296536381910991e-002	6.163828e-003
3.306606507783790e-002	6.534819e-003
3.318033520144595e-002	6.932350e-003
3.319312902273439e-002	6.972115e-003
3.321871666531127e-002	7.045049e-003
3.322511357595549e-002	7.062681e-003
3.323790739724392e-002	7.096503e-003
3.326349503982080e-002	7.160908e-003
3.329604167217110e-002	7.237066e-003
3.332870099997181e-002	7.306558e-003
3.336907626234530e-002	7.383026e-003
3.343778056285936e-002	7.497778e-003
3.351619653648144e-002	7.613780e-003
3.359237035082458e-002	7.714706e-003
3.367251088554109e-002	7.811818e-003
3.375856643790186e-002	7.909139e-003
3.384606836596434e-002	8.002882e-003
3.394199859605427e-002	8.101344e-003
3.405154319361579e-002	8.210361e-003
3.414390617296082e-002	8.300510e-003
3.418849738450897e-002	8.343580e-003
3.419964518739601e-002	8.354292e-003
3.422194079317008e-002	8.375670e-003
3.422751469461360e-002	8.381009e-003
3.423866249750064e-002	8.391675e-003
3.425289112274678e-002	8.405278e-003
3.426680971179930e-002	8.418580e-003
3.428778299773415e-002	8.438633e-003
3.430996606386914e-002	8.459891e-003
3.433723730906296e-002	8.486151e-003
3.436445830088138e-002	8.512588e-003
3.439899051888268e-002	8.546581e-003
3.444020219682484e-002	8.588039e-003
