time	V(output2)	V(vin2)
0.000000000000000e+000	7.611439e-009	-1.000000e+000
1.462857101484718e-007	7.611439e-009	-9.999997e-001
2.925714202969436e-007	7.611439e-009	-9.999994e-001
4.388571304454154e-007	7.611439e-009	-9.999991e-001
5.851428405938872e-007	7.611439e-009	-9.999988e-001
7.314285507423590e-007	7.611439e-009	-9.999986e-001
8.777142608908308e-007	7.611439e-009	-9.999983e-001
1.023999971039302e-006	7.611439e-009	-9.999980e-001
8.191999768314418e-006	7.611286e-009	-9.999836e-001
1.638399953662884e-005	7.611025e-009	-9.999672e-001
3.276799907325767e-005	7.610500e-009	-9.999344e-001
6.553599814651534e-005	7.609452e-009	-9.998689e-001
1.310719962930307e-004	7.607355e-009	-9.997379e-001
1.809166354651657e-004	7.605760e-009	-9.996381e-001
2.231286389370173e-004	7.604409e-009	-9.995537e-001
2.695274081496160e-004	7.602925e-009	-9.994609e-001
2.950801945587877e-004	7.602109e-009	-9.994099e-001
3.218345879531374e-004	7.601254e-009	-9.993563e-001
3.753433747418368e-004	7.599547e-009	-9.992493e-001
4.242493357382728e-004	7.597986e-009	-9.991515e-001
4.938670271533729e-004	7.595765e-009	-9.990123e-001
5.622715507403940e-004	7.593590e-009	-9.988754e-001
6.516457471781814e-004	7.590769e-009	-9.986967e-001
7.445532502436018e-004	7.587893e-009	-9.985109e-001
8.576760447843909e-004	7.584574e-009	-9.982846e-001
9.759444246297205e-004	7.581640e-009	-9.980481e-001
1.109454410550684e-003	7.579837e-009	-9.977811e-001
1.230432534686530e-003	7.581107e-009	-9.975392e-001
1.322126365578983e-003	7.586202e-009	-9.973558e-001
1.401081678831614e-003	7.596479e-009	-9.971979e-001
1.476189971974208e-003	7.615653e-009	-9.970476e-001
1.556770655632301e-003	7.653250e-009	-9.968864e-001
1.630396235042209e-003	7.715862e-009	-9.967392e-001
1.705580160130264e-003	7.831918e-009	-9.965888e-001
1.775220642742247e-003	8.026253e-009	-9.964495e-001
1.836215316022288e-003	8.335457e-009	-9.963276e-001
1.888577636861841e-003	8.813418e-009	-9.962229e-001
1.930866897623410e-003	9.404761e-009	-9.961383e-001
1.936536644422540e-003	9.517582e-009	-9.961269e-001
1.947876138020799e-003	9.835283e-009	-9.961042e-001
1.970555125217318e-003	1.079098e-008	-9.960589e-001
1.985012977461219e-003	1.203555e-008	-9.960300e-001
2.000347485278316e-003	1.426594e-008	-9.959993e-001
2.002332770634841e-003	1.467625e-008	-9.959953e-001
2.006303341347891e-003	1.566001e-008	-9.959874e-001
2.007295984026153e-003	1.592354e-008	-9.959854e-001
2.009281269382678e-003	1.649971e-008	-9.959815e-001
2.013251840095728e-003	1.780663e-008	-9.959735e-001
2.019828968622482e-003	2.050466e-008	-9.959604e-001
2.030580896722199e-003	2.626739e-008	-9.959388e-001
2.041989790705902e-003	3.432008e-008	-9.959160e-001
2.053113154155679e-003	4.469439e-008	-9.958938e-001
2.065452013681246e-003	5.972862e-008	-9.958691e-001
2.079557483436225e-003	8.041637e-008	-9.958409e-001
2.081135886839009e-003	8.305378e-008	-9.958377e-001
2.084292693644576e-003	8.884810e-008	-9.958314e-001
2.090606307255710e-003	1.013693e-007	-9.958188e-001
2.100169135366729e-003	1.224073e-007	-9.957997e-001
2.109672711989122e-003	1.461230e-007	-9.957806e-001
2.123063473325669e-003	1.842621e-007	-9.957539e-001
2.137936730019283e-003	2.323215e-007	-9.957241e-001
2.154723928842972e-003	2.935281e-007	-9.956905e-001
2.172649374750090e-003	3.667566e-007	-9.956547e-001
2.193400285322322e-003	4.617528e-007	-9.956132e-001
2.214190513334171e-003	5.708689e-007	-9.955716e-001
2.237482006739571e-003	7.189603e-007	-9.955251e-001
2.262454560525984e-003	9.294686e-007	-9.954751e-001
2.291467344771240e-003	1.287031e-006	-9.954171e-001
2.324239548950721e-003	1.911450e-006	-9.953515e-001
2.362781847415337e-003	2.996449e-006	-9.952744e-001
2.406468051102736e-003	4.463683e-006	-9.951870e-001
2.455521901048461e-003	5.327238e-006	-9.950889e-001
2.507739955771720e-003	3.591799e-006	-9.949845e-001
2.536856470458909e-003	-2.168675e-007	-9.949263e-001
2.560220143110246e-003	-6.330790e-006	-9.948795e-001
2.581799071050202e-003	-1.519352e-005	-9.948364e-001
2.603410788493289e-003	-2.792598e-005	-9.947932e-001
2.624904516848976e-003	-4.525231e-005	-9.947502e-001
2.647565454783296e-003	-6.950765e-005	-9.947048e-001
2.671651782793199e-003	-1.033123e-004	-9.946567e-001
2.701199290217654e-003	-1.573989e-004	-9.945976e-001
2.736233536065343e-003	-2.349040e-004	-9.945275e-001
2.740525272123388e-003	-2.458413e-004	-9.945189e-001
2.749108744239478e-003	-2.695911e-004	-9.945018e-001
2.751254612268501e-003	-2.757154e-004	-9.944975e-001
2.755546348326545e-003	-2.884222e-004	-9.944889e-001
2.764129820442635e-003	-3.150575e-004	-9.944717e-001
2.781296764674815e-003	-3.709387e-004	-9.944374e-001
2.784634921608839e-003	-3.822796e-004	-9.944307e-001
2.785469460842346e-003	-3.851963e-004	-9.944291e-001
2.787138539309358e-003	-3.910791e-004	-9.944257e-001
2.790476696243383e-003	-4.030396e-004	-9.944190e-001
2.797153010111432e-003	-4.277194e-004	-9.944057e-001
2.810505637847530e-003	-4.799567e-004	-9.943790e-001
2.836506765634176e-003	-5.897200e-004	-9.943270e-001
2.863211756286483e-003	-7.132015e-004	-9.942736e-001
2.895488154869586e-003	-8.779072e-004	-9.942091e-001
2.933823413149760e-003	-1.096756e-003	-9.941323e-001
3.009481584659363e-003	-1.584827e-003	-9.939811e-001
3.110151930007014e-003	-2.308527e-003	-9.937797e-001
3.201947528691677e-003	-3.026165e-003	-9.935961e-001
3.294784848083443e-003	-3.789545e-003	-9.934104e-001
3.385485959407700e-003	-4.551735e-003	-9.932290e-001
3.493479434959149e-003	-5.463076e-003	-9.930130e-001
3.612935719868554e-003	-6.463909e-003	-9.927741e-001
3.743335546551589e-003	-7.541748e-003	-9.925134e-001
3.898360213456663e-003	-8.802225e-003	-9.922033e-001
4.097178846318639e-003	-1.039128e-002	-9.918056e-001
4.273922079806606e-003	-1.177896e-002	-9.914522e-001
4.434752000674345e-003	-1.301835e-002	-9.911305e-001
4.611022415123025e-003	-1.435235e-002	-9.907780e-001
4.775436956244021e-003	-1.557400e-002	-9.904491e-001
4.948710519074278e-003	-1.683695e-002	-9.901026e-001
5.128330178084271e-003	-1.812663e-002	-9.897434e-001
5.142797194280480e-003	-1.822934e-002	-9.897144e-001
5.171731226672897e-003	-1.843308e-002	-9.896565e-001
5.229599291457732e-003	-1.883870e-002	-9.895408e-001
5.289200214477032e-003	-1.925438e-002	-9.894216e-001
5.313293662944457e-003	-1.942170e-002	-9.893734e-001
5.315753441251457e-003	-1.943874e-002	-9.893685e-001
5.320672997865456e-003	-1.947277e-002	-9.893587e-001
5.330512111093456e-003	-1.954078e-002	-9.893390e-001
5.342911387738870e-003	-1.962638e-002	-9.893142e-001
5.356412027237014e-003	-1.971941e-002	-9.892872e-001
5.383413306233302e-003	-1.990516e-002	-9.892332e-001
5.387878511649932e-003	-1.993584e-002	-9.892243e-001
5.396808922483194e-003	-1.999713e-002	-9.892064e-001
5.407033755122685e-003	-2.006735e-002	-9.891859e-001
5.417267370561738e-003	-2.013778e-002	-9.891655e-001
5.432062540237282e-003	-2.024010e-002	-9.891359e-001
5.447853056599060e-003	-2.035012e-002	-9.891043e-001
5.460530278151580e-003	-2.043919e-002	-9.890789e-001
5.463699583539710e-003	-2.046164e-002	-9.890726e-001
5.470038194315970e-003	-2.050679e-002	-9.890599e-001
5.471622847010036e-003	-2.051812e-002	-9.890568e-001
5.474792152398166e-003	-2.054089e-002	-9.890504e-001
5.481130763174426e-003	-2.058670e-002	-9.890378e-001
5.488306474072751e-003	-2.063909e-002	-9.890234e-001
5.500566228998205e-003	-2.072998e-002	-9.889989e-001
5.513336758046580e-003	-2.082727e-002	-9.889733e-001
5.538689853694523e-003	-2.102701e-002	-9.889226e-001
5.553171800468968e-003	-2.114549e-002	-9.888936e-001
5.566806662054234e-003	-2.126180e-002	-9.888664e-001
5.581734837349578e-003	-2.139467e-002	-9.888365e-001
5.601105223844123e-003	-2.157576e-002	-9.887978e-001
5.621142116172886e-003	-2.177708e-002	-9.887577e-001
5.661050014146405e-003	-2.221721e-002	-9.886779e-001
5.702065284949073e-003	-2.272584e-002	-9.885958e-001
5.753996576913880e-003	-2.345884e-002	-9.884920e-001
5.803769968154412e-003	-2.425622e-002	-9.883925e-001
5.869939000334030e-003	-2.545705e-002	-9.882601e-001
5.977800532864848e-003	-2.757821e-002	-9.880444e-001
5.981168218292366e-003	-2.764790e-002	-9.880376e-001
5.987903589147402e-003	-2.779173e-002	-9.880242e-001
6.001374330857475e-003	-2.808193e-002	-9.879972e-001
6.028315814277620e-003	-2.866813e-002	-9.879434e-001
6.035051185132655e-003	-2.881632e-002	-9.879299e-001
6.048521926842728e-003	-2.911621e-002	-9.879029e-001
6.075463410262873e-003	-2.972287e-002	-9.878491e-001
6.110835396994268e-003	-3.052828e-002	-9.877783e-001
6.115564728668198e-003	-3.063706e-002	-9.877689e-001
6.125023392016057e-003	-3.085604e-002	-9.877499e-001
6.127388057853022e-003	-3.091092e-002	-9.877452e-001
6.132117389526952e-003	-3.102099e-002	-9.877357e-001
6.141576052874811e-003	-3.124195e-002	-9.877169e-001
6.160493379570528e-003	-3.168651e-002	-9.876790e-001
6.187991690774988e-003	-3.233768e-002	-9.876240e-001
6.218254914474327e-003	-3.306103e-002	-9.875635e-001
6.266026534755532e-003	-3.421157e-002	-9.874679e-001
6.275508184611723e-003	-3.444130e-002	-9.874490e-001
6.294471484324105e-003	-3.490300e-002	-9.874111e-001
6.332398083748869e-003	-3.582887e-002	-9.873352e-001
