time	V(output)	V(vin)
0.000000000000000e+000	7.611439e-009	0.000000e+000
1.462857101484718e-007	7.611439e-009	1.378710e-006
2.925714202969436e-007	7.611439e-009	2.757421e-006
4.388571304454154e-007	7.611439e-009	4.136131e-006
5.851428405938872e-007	7.611439e-009	5.514841e-006
7.314285507423590e-007	7.611439e-009	6.893551e-006
8.777142608908308e-007	7.611439e-009	8.272262e-006
1.023999971039302e-006	7.611439e-009	9.650972e-006
8.191999768314418e-006	7.611549e-009	7.720778e-005
1.638399953662884e-005	7.611757e-009	1.544156e-004
3.276799907325767e-005	7.612182e-009	3.088311e-004
6.553599814651534e-005	7.613032e-009	6.176622e-004
1.310719962930307e-004	7.614733e-009	1.235324e-003
1.809166354651657e-004	7.616029e-009	1.705098e-003
2.231286389370173e-004	7.617126e-009	2.102936e-003
2.695274081496160e-004	7.618331e-009	2.540233e-003
2.950801945587877e-004	7.618997e-009	2.781062e-003
3.218345879531374e-004	7.619692e-009	3.033215e-003
3.753433747418368e-004	7.621084e-009	3.537521e-003
4.242493357382728e-004	7.622358e-009	3.998445e-003
4.938670271533729e-004	7.624172e-009	4.654570e-003
5.622715507403940e-004	7.625964e-009	5.299260e-003
6.516457471781814e-004	7.628326e-009	6.141578e-003
7.445532502436018e-004	7.630842e-009	7.017191e-003
8.576760447843909e-004	7.634113e-009	8.083318e-003
9.759444246297205e-004	7.638166e-009	9.197930e-003
1.109454410550684e-003	7.644559e-009	1.045617e-002
1.230432534686530e-003	7.653882e-009	1.159629e-002
1.322126365578983e-003	7.666003e-009	1.246042e-002
1.401081678831614e-003	7.683704e-009	1.320450e-002
1.476189971974208e-003	7.712211e-009	1.391231e-002
1.556770655632301e-003	7.763909e-009	1.467169e-002
1.630396235042209e-003	7.845901e-009	1.536552e-002
1.705580160130264e-003	7.992856e-009	1.607402e-002
1.775220642742247e-003	8.232124e-009	1.673028e-002
1.836215316022288e-003	8.602314e-009	1.730506e-002
1.888577636861841e-003	9.158593e-009	1.779849e-002
1.930866897623410e-003	9.834253e-009	1.819699e-002
1.936536644422540e-003	9.961097e-009	1.825042e-002
1.947876138020799e-003	1.031193e-008	1.835727e-002
1.970555125217318e-003	1.134262e-008	1.857098e-002
1.985012977461219e-003	1.264342e-008	1.870722e-002
2.000347485278316e-003	1.494252e-008	1.885171e-002
2.002332770634841e-003	1.536277e-008	1.887042e-002
2.006303341347891e-003	1.636784e-008	1.890784e-002
2.007295984026153e-003	1.663687e-008	1.891719e-002
2.009281269382678e-003	1.722453e-008	1.893590e-002
2.013251840095728e-003	1.855576e-008	1.897331e-002
2.019828968622482e-003	2.129885e-008	1.903529e-002
2.030580896722199e-003	2.714912e-008	1.913661e-002
2.041989790705902e-003	3.531862e-008	1.924411e-002
2.053113154155679e-003	4.584390e-008	1.934893e-002
2.065452013681246e-003	6.110971e-008	1.946520e-002
2.079557483436225e-003	8.213642e-008	1.959811e-002
2.081135886839009e-003	8.482017e-008	1.961299e-002
2.084292693644576e-003	9.072280e-008	1.964273e-002
2.090606307255710e-003	1.034935e-007	1.970223e-002
2.100169135366729e-003	1.249903e-007	1.979234e-002
2.109672711989122e-003	1.492967e-007	1.988189e-002
2.123063473325669e-003	1.885628e-007	2.000807e-002
2.137936730019283e-003	2.383759e-007	2.014822e-002
2.154723928842972e-003	3.024317e-007	2.030640e-002
2.172649374750090e-003	3.801348e-007	2.047531e-002
2.193400285322322e-003	4.827774e-007	2.067084e-002
2.214190513334171e-003	6.033366e-007	2.086674e-002
2.237482006739571e-003	7.708102e-007	2.108621e-002
2.262454560525984e-003	1.013789e-006	2.132152e-002
2.291467344771240e-003	1.433886e-006	2.159489e-002
2.324239548950721e-003	2.188257e-006	2.190369e-002
2.362781847415337e-003	3.595857e-006	2.226685e-002
2.406468051102736e-003	5.963586e-006	2.267848e-002
2.455521901048461e-003	9.592897e-006	2.314068e-002
2.507739955771720e-003	1.446916e-005	2.363269e-002
2.536856470458909e-003	1.789735e-005	2.390703e-002
2.560220143110246e-003	2.143558e-005	2.412716e-002
2.581799071050202e-003	2.556071e-005	2.433048e-002
2.603410788493289e-003	3.071110e-005	2.453411e-002
2.624904516848976e-003	3.705658e-005	2.473662e-002
2.647565454783296e-003	4.524829e-005	2.495013e-002
2.671651782793199e-003	5.582743e-005	2.517706e-002
2.701199290217654e-003	7.142075e-005	2.545545e-002
2.736233536065343e-003	9.242929e-005	2.578554e-002
2.740525272123388e-003	9.523666e-005	2.582597e-002
2.749108744239478e-003	1.011262e-004	2.590684e-002
2.751254612268501e-003	1.026239e-004	2.592706e-002
2.755546348326545e-003	1.056784e-004	2.596749e-002
2.764129820442635e-003	1.119218e-004	2.604836e-002
2.781296764674815e-003	1.246874e-004	2.621010e-002
2.784634921608839e-003	1.272192e-004	2.624155e-002
2.785469460842346e-003	1.278601e-004	2.624942e-002
2.787138539309358e-003	1.291447e-004	2.626514e-002
2.790476696243383e-003	1.317296e-004	2.629659e-002
2.797153010111432e-003	1.369615e-004	2.635949e-002
2.810505637847530e-003	1.476213e-004	2.648529e-002
2.836506765634176e-003	1.688391e-004	2.673026e-002
2.863211756286483e-003	1.911221e-004	2.698186e-002
2.895488154869586e-003	2.185980e-004	2.728595e-002
2.933823413149760e-003	2.517778e-004	2.764711e-002
3.009481584659363e-003	3.181085e-004	2.835989e-002
3.110151930007014e-003	4.069605e-004	2.930829e-002
3.201947528691677e-003	4.880547e-004	3.017307e-002
3.294784848083443e-003	5.697829e-004	3.104763e-002
3.385485959407700e-003	6.491633e-004	3.190204e-002
3.493479434959149e-003	7.431021e-004	3.291932e-002
3.612935719868554e-003	8.465378e-004	3.404454e-002
3.743335546551589e-003	9.592769e-004	3.527279e-002
3.898360213456663e-003	1.093630e-003	3.673291e-002
4.097178846318639e-003	1.266725e-003	3.860541e-002
4.273922079806606e-003	1.421324e-003	4.026987e-002
4.434752000674345e-003	1.562588e-003	4.178438e-002
4.611022415123025e-003	1.717915e-003	4.344419e-002
4.775436956244021e-003	1.863159e-003	4.499224e-002
4.948710519074278e-003	2.016522e-003	4.662359e-002
5.128330178084271e-003	2.175678e-003	4.831456e-002
5.142797194280480e-003	2.188505e-003	4.845075e-002
5.171731226672897e-003	2.214165e-003	4.872312e-002
5.229599291457732e-003	2.265485e-003	4.926786e-002
5.289200214477032e-003	2.318344e-003	4.982889e-002
5.313293662944457e-003	2.339712e-003	5.005569e-002
5.315753441251457e-003	2.341894e-003	5.007884e-002
5.320672997865456e-003	2.346257e-003	5.012515e-002
5.330512111093456e-003	2.354983e-003	5.021776e-002
5.342911387738870e-003	2.365979e-003	5.033448e-002
5.356412027237014e-003	2.377952e-003	5.046155e-002
5.383413306233302e-003	2.401898e-003	5.071571e-002
5.387878511649932e-003	2.405859e-003	5.075774e-002
5.396808922483194e-003	2.413790e-003	5.084180e-002
5.407033755122685e-003	2.422887e-003	5.093804e-002
5.417267370561738e-003	2.432030e-003	5.103436e-002
5.432062540237282e-003	2.445335e-003	5.117362e-002
5.447853056599060e-003	2.459666e-003	5.132225e-002
5.460530278151580e-003	2.471281e-003	5.144157e-002
5.463699583539710e-003	2.474212e-003	5.147140e-002
5.470038194315970e-003	2.480108e-003	5.153106e-002
5.471622847010036e-003	2.481587e-003	5.154598e-002
5.474792152398166e-003	2.484563e-003	5.157581e-002
5.481130763174426e-003	2.490549e-003	5.163547e-002
5.488306474072751e-003	2.497400e-003	5.170301e-002
5.500566228998205e-003	2.509289e-003	5.181840e-002
5.513336758046580e-003	2.522012e-003	5.193859e-002
5.538689853694523e-003	2.548106e-003	5.217722e-002
5.553171800468968e-003	2.563559e-003	5.231352e-002
5.566806662054234e-003	2.578700e-003	5.244185e-002
5.581734837349578e-003	2.595953e-003	5.258235e-002
5.601105223844123e-003	2.619385e-003	5.276466e-002
5.621142116172886e-003	2.645275e-003	5.295324e-002
5.661050014146405e-003	2.701384e-003	5.332883e-002
5.702065284949073e-003	2.765405e-003	5.371483e-002
5.753996576913880e-003	2.856168e-003	5.420356e-002
5.803769968154412e-003	2.952808e-003	5.467197e-002
5.869939000334030e-003	3.093669e-003	5.529466e-002
5.977800532864848e-003	3.335704e-003	5.630964e-002
5.981168218292366e-003	3.343465e-003	5.634133e-002
5.987903589147402e-003	3.359194e-003	5.640471e-002
6.001374330857475e-003	3.390675e-003	5.653147e-002
6.028315814277620e-003	3.453708e-003	5.678498e-002
6.035051185132655e-003	3.469483e-003	5.684835e-002
6.048521926842728e-003	3.501019e-003	5.697511e-002
6.075463410262873e-003	3.563917e-003	5.722861e-002
6.110835396994268e-003	3.646250e-003	5.756143e-002
6.115564728668198e-003	3.657222e-003	5.760593e-002
6.125023392016057e-003	3.679117e-003	5.769493e-002
6.127388057853022e-003	3.684584e-003	5.771718e-002
6.132117389526952e-003	3.695503e-003	5.776168e-002
6.141576052874811e-003	3.717287e-003	5.785067e-002
6.160493379570528e-003	3.760654e-003	5.802866e-002
6.187991690774988e-003	3.823264e-003	5.828739e-002
6.218254914474327e-003	3.891438e-003	5.857213e-002
6.266026534755532e-003	3.997928e-003	5.902159e-002
6.275508184611723e-003	4.018858e-003	5.911079e-002
6.294471484324105e-003	4.060286e-003	5.928921e-002
6.332398083748869e-003	4.142238e-003	5.964602e-002
6.381462954233131e-003	4.246773e-003	6.010762e-002
6.427179111587661e-003	4.342735e-003	6.053770e-002
6.475226067386523e-003	4.442098e-003	6.098969e-002
6.571319978984249e-003	4.638342e-003	6.189365e-002
6.660616477124073e-003	4.819034e-003	6.273361e-002
6.747620435074567e-003	4.994088e-003	6.355197e-002
6.840025270075141e-003	5.179875e-003	6.442108e-002
6.942254789634283e-003	5.386197e-003	6.538253e-002
7.063458161037933e-003	5.632797e-003	6.652237e-002
7.209986508373888e-003	5.934574e-003	6.790024e-002
7.409213944299659e-003	6.350785e-003	6.977346e-002
7.586320477712724e-003	6.726318e-003	7.143848e-002
7.746501726356320e-003	7.071104e-003	7.294422e-002
7.923923881389197e-003	7.458339e-003	7.461182e-002
8.091027867206092e-003	7.827947e-003	7.618226e-002
8.262876453950054e-003	8.213034e-003	7.779709e-002
8.429224180612207e-003	8.589928e-003	7.936003e-002
8.518348189582001e-003	8.793463e-003	8.019733e-002
8.527386332979134e-003	8.814209e-003	8.028223e-002
8.545462619773400e-003	8.855813e-003	8.045205e-002
8.581615193361931e-003	8.939181e-003	8.079167e-002
8.632577675835033e-003	9.056958e-003	8.127040e-002
8.654007509117708e-003	9.106590e-003	8.147170e-002
8.670618451542331e-003	9.145131e-003	8.162773e-002
8.684622124482374e-003	9.177659e-003	8.175927e-002
8.699695207247485e-003	9.212710e-003	8.190086e-002
8.719266698046862e-003	9.258275e-003	8.208469e-002
8.739368729916285e-003	9.305150e-003	8.227351e-002
8.779572793655132e-003	9.399058e-003	8.265113e-002
8.797558636120759e-003	9.441134e-003	8.282007e-002
8.800566388356777e-003	9.448181e-003	8.284831e-002
8.806581892828812e-003	9.462294e-003	8.290482e-002
8.818610616622121e-003	9.490564e-003	8.301779e-002
8.832272697000871e-003	9.522757e-003	8.314611e-002
8.847665972373417e-003	9.559210e-003	8.329068e-002
8.876546557153251e-003	9.628018e-003	8.356193e-002
8.892059838289926e-003	9.665231e-003	8.370762e-002
8.905880763905898e-003	9.698621e-003	8.383743e-002
8.918109939560964e-003	9.728308e-003	8.395228e-002
8.920749655329512e-003	9.734741e-003	8.397707e-002
8.926029086866608e-003	9.747660e-003	8.402665e-002
8.936587949940801e-003	9.773604e-003	8.412581e-002
8.949421730397760e-003	9.805335e-003	8.424634e-002
8.963407587485147e-003	9.840274e-003	8.437768e-002
8.991379301659922e-003	9.911291e-003	8.464037e-002
9.030967142835661e-003	1.001360e-002	8.501213e-002
